2 	8.6	9.2	0.0	8.9	8.9	8.9
28 	8.8	8.4	0.0	8.6	8.6	8.6
0 	8.3	8.6	0.0	8.4	8.5	8.5
19 	7.0	9.6	0.0	8.3	8.3	8.3
42 	8.1	7.5	0.0	7.8	7.8	7.8
44 	9.7	5.3	0.0	7.5	7.5	7.5
4 	9.0	5.9	0.0	7.4	7.4	7.4
12 	9.3	5.6	0.0	7.4	7.4	7.4
32 	2.6	8.6	9.4	6.8	6.9	6.9
29 	5.1	5.4	9.9	6.8	6.8	6.8
33 	3.9	9.5	7.0	6.8	6.8	6.8
17 	2.6	9.1	8.0	6.5	6.6	6.6
11 	5.8	6.9	6.7	6.4	6.5	6.5
38 	8.6	4.1	6.5	6.4	6.4	6.4
18 	5.6	7.3	6.2	6.3	6.4	6.4
41 	1.7	9.7	7.1	6.1	6.2	6.2
26 	4.3	5.0	8.7	6.0	6.0	6.0
34 	3.4	7.8	6.7	5.9	6.0	6.0
23 	5.7	2.4	9.5	5.8	5.9	5.9
8 	8.2	3.0	6.2	5.7	5.8	5.8
30 	3.2	6.0	7.6	5.6	5.6	5.6
25 	6.7	3.4	6.4	5.5	5.5	5.5
7 	6.8	6.7	2.9	5.4	5.5	5.5
27 	0.8	7.6	7.8	5.4	5.4	5.4
36 	1.7	9.2	5.2	5.3	5.4	5.4
15 	3.7	9.8	2.4	5.2	5.3	5.3
45 	6.5	0.6	8.3	5.1	5.1	5.1
39 	8.9	4.4	1.9	5.0	5.1	5.1
43 	2.7	6.7	5.6	5.0	5.0	5.0
13 	4.2	2.9	7.3	4.7	4.8	4.8
1 	1.5	9.3	3.5	4.7	4.8	4.8
24 	8.2	4.5	1.4	4.7	4.7	4.7
37 	5.6	0.1	8.0	4.5	4.6	4.6
47 	7.1	3.2	2.9	4.4	4.4	4.4
9 	2.3	6.7	3.5	4.1	4.2	4.2
14 	2.1	1.9	8.4	4.1	4.1	4.1
31 	6.8	3.9	1.2	3.9	4.0	4.0
6 	7.2	3.6	1.1	3.9	4.0	4.0
20 	0.5	2.5	8.4	3.8	3.8	3.8
3 	2.1	6.2	2.7	3.6	3.7	3.7
35 	0.1	9.7	0.2	3.3	3.3	3.3
40 	4.0	2.9	3.1	3.3	3.3	3.3
16 	1.5	7.0	1.3	3.2	3.3	3.3
5 	2.6	4.0	2.6	3.0	3.1	3.1
48 	0.3	1.9	7.0	3.0	3.1	3.1
49 	6.8	0.8	1.5	3.0	3.0	3.0
22 	4.6	2.9	1.3	2.9	2.9	2.9
46 	1.9	2.4	2.8	2.3	2.4	2.4
21 	2.7	3.6	0.5	2.2	2.3	2.3
10 	2.9	0.2	2.2	1.7	1.8	1.8
